date,weekday,weekday_num,month,year,season,is_school_holiday,is_mon,is_tue_thu,is_fri,rain_total,rain_peak,wind_peak,wind_mean,temp_min,temp_mean,humidity_max,snow_total,weather_risk,car_est_min,train_planned_journey_min,train_actual_journey_min,train_delay_arr_median_s,train_on_time_pct,train_cancelled_pct,train_sched_min,car_faster_than_train
2021-06-21,Monday,0,6,2021,Summer,False,1,0,0,4.9,1.7,16.3,12.6,14.6,14.775,95.0,0.0,0,78.4,59.0,59.608333333333334,5.0,0.8333333333333334,0.0,59.0,0
2021-06-22,Tuesday,1,6,2021,Summer,False,0,1,0,0.0,0.0,18.1,17.3,12.3,12.85,90.0,0.0,0,80.3,59.0,57.31666666666667,-52.5,0.8333333333333334,0.0,59.0,0
2021-06-23,Wednesday,2,6,2021,Summer,False,0,0,0,0.30000000000000004,0.2,11.8,10.875,11.6,11.975,93.0,0.0,0,71.4,59.0,57.800000000000004,-12.0,1.0,0.0,59.0,0
2021-06-24,Thursday,3,6,2021,Summer,False,0,1,0,0.1,0.1,9.5,8.875,13.1,13.75,88.0,0.0,0,79.1,59.0,57.141666666666666,-22.5,1.0,0.0,59.0,0
2021-06-25,Friday,4,6,2021,Summer,False,0,0,1,0.0,0.0,16.5,14.375,13.6,14.3,82.0,0.0,0,68.4,59.0,58.96666666666667,5.0,1.0,0.0,59.0,1
2021-06-28,Monday,0,6,2021,Summer,False,1,0,0,0.0,0.0,4.7,3.4250000000000003,15.1,16.049999999999997,100.0,0.0,1,76.2,59.0,57.733333333333334,-10.5,1.0,0.0,59.0,0
2021-06-29,Tuesday,1,6,2021,Summer,False,0,1,0,0.30000000000000004,0.2,7.7,6.15,16.8,17.6,97.0,0.0,1,80.3,59.0,58.391666666666666,4.5,1.0,0.0,59.0,0
2021-06-30,Wednesday,2,6,2021,Summer,False,0,0,0,2.4,0.7,13.9,12.875,13.4,13.5,94.0,0.0,0,73.5,59.0,60.375,-35.0,0.8333333333333334,0.0,59.0,0
2021-07-01,Thursday,3,7,2021,Summer,True,0,1,0,0.0,0.0,17.0,14.425,12.1,12.575,92.0,0.0,0,79.1,59.0,53.56666666666666,-65.0,1.0,0.0,59.0,0
2021-07-02,Friday,4,7,2021,Summer,True,0,0,1,0.0,0.0,8.8,7.7,11.2,13.649999999999999,90.0,0.0,0,68.4,59.0,63.075,52.5,0.8333333333333334,0.0,59.0,1
2021-07-05,Monday,0,7,2021,Summer,True,1,0,0,1.0,0.4,13.6,12.3,14.1,14.625,92.0,0.0,0,76.2,59.0,58.84166666666667,25.5,1.0,0.0,59.0,0
2021-07-06,Tuesday,1,7,2021,Summer,True,0,1,0,0.8,0.3,27.0,25.6,18.1,18.225,88.0,0.0,0,80.3,59.0,59.366666666666674,23.0,1.0,0.0,59.0,0
